symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COST,2025-05-13 04:00:00+00:00,1010.8,1023.3,988.33,999.64,72089.0,3170.0,1001.448972
COST,2025-05-14 04:00:00+00:00,996.65,998.62,991.26,991.565,52983.0,2219.0,994.653061
COST,2025-05-15 04:00:00+00:00,992.275,1012.6,984.355,1009.92,64123.0,2818.0,1005.955196
COST,2025-05-16 04:00:00+00:00,1011.54,1027.89,1011.54,1026.405,38155.0,2925.0,1022.005793
COST,2025-05-19 04:00:00+00:00,1018.195,1034.41,1012.89,1033.94,34265.0,2281.0,1029.189843
COST,2025-05-20 04:00:00+00:00,1031.525,1037.43,1030.745,1037.02,61642.0,2810.0,1034.840263
COST,2025-05-21 04:00:00+00:00,1031.1,1038.455,1025.45,1025.52,35302.0,1888.0,1032.212635
COST,2025-05-22 04:00:00+00:00,1027.725,1027.765,1014.425,1018.2,58383.0,3351.0,1020.114411
COST,2025-05-23 04:00:00+00:00,1013.185,1014.52,1007.235,1009.18,40126.0,2689.0,1011.124507
COST,2025-05-27 04:00:00+00:00,1014.3,1018.94,1011.43,1017.31,47458.0,2780.0,1014.801576
COST,2025-05-28 04:00:00+00:00,1017.67,1023.065,1013.24,1013.24,36898.0,2140.0,1017.930542
COST,2025-05-29 04:00:00+00:00,1013.535,1013.535,1007.28,1007.875,38337.0,2153.0,1009.435
COST,2025-05-30 04:00:00+00:00,1004.12,1051.455,1004.12,1039.57,74686.0,3736.0,1041.667971
COST,2025-06-02 04:00:00+00:00,1037.0,1060.325,1037.0,1056.31,74096.0,3626.0,1051.614345
COST,2025-06-03 04:00:00+00:00,1054.77,1065.4,1043.87,1055.87,61604.0,2869.0,1053.129584
COST,2025-06-04 04:00:00+00:00,1052.845,1057.0,1049.91,1051.955,42672.0,3081.0,1053.879764
COST,2025-06-05 04:00:00+00:00,1049.805,1049.805,1007.495,1010.97,82943.0,3748.0,1015.284452
COST,2025-06-06 04:00:00+00:00,1012.28,1020.21,1008.835,1015.04,42380.0,3115.0,1014.350294
COST,2025-06-09 04:00:00+00:00,1009.875,1012.88,997.48,1005.63,39608.0,2620.0,1007.161188
COST,2025-06-10 04:00:00+00:00,1007.095,1008.995,999.98,1006.72,26528.0,2013.0,1003.343075
COST,2025-06-11 04:00:00+00:00,1001.93,1004.8,994.035,996.99,45202.0,2365.0,999.144949
COST,2025-06-12 04:00:00+00:00,996.875,1002.98,996.81,1002.65,32643.0,1814.0,1000.676061
COST,2025-06-13 04:00:00+00:00,998.0,1002.02,988.88,989.615,36585.0,2928.0,995.098439
COST,2025-06-16 04:00:00+00:00,992.305,1001.2,981.715,983.83,51809.0,2816.0,991.043107
COST,2025-06-17 04:00:00+00:00,983.0,985.44,977.06,977.6,59161.0,2958.0,980.324056
COST,2025-06-18 04:00:00+00:00,980.0,982.225,974.07,974.265,38327.0,1811.0,977.828392
COST,2025-06-20 04:00:00+00:00,983.67,987.38,973.945,979.625,37582.0,1721.0,979.485439
COST,2025-06-23 04:00:00+00:00,983.145,1004.84,981.36,1004.595,45268.0,2393.0,996.223211
COST,2025-06-24 04:00:00+00:00,1005.275,1005.275,993.53,1001.71,48649.0,2538.0,998.567722
COST,2025-06-25 04:00:00+00:00,1002.44,1004.065,986.105,986.56,49929.0,2617.0,991.675462
COST,2025-06-26 04:00:00+00:00,984.285,985.93,977.07,983.45,60512.0,2504.0,980.822659
COST,2025-06-27 04:00:00+00:00,982.55,992.885,981.01,984.845,38392.0,2144.0,987.940308
COST,2025-06-30 04:00:00+00:00,987.8,991.56,980.055,990.04,44060.0,2193.0,986.656791
